,id,name,attack,health,defense
0,84,鐵布衫,0,0,120
1,85,橫練功夫,0,0,100
2,86,金鐘罩,0,0,120
3,87,鐵皮功,0,0,150
4,88,銅骨功,0,0,150
5,89,銀血淬體訣,0,0,200
6,90,蠻牛勁,0,0,300
7,91,玄黃鍛體術,0,0,400
8,92,明王訣,0,0,400
9,93,混元樁,0,0,250
10,94,玉手功,0,0,100
11,95,玄元體訣,0,0,300
12,96,藥浴法,0,0,100
13,97,九鍛功,0,0,150
14,98,不壞功,0,0,300
15,99,大力金剛身,0,0,400
16,100,壯血法,0,0,200
17,101,蘊體功,0,0,200
18,102,金身功,0,0,150
19,103,青玉鐵身,0,0,250
20,104,黑煞銅身,0,0,230
21,105,玄氣煉體法,0,0,400
22,106,青銅身,0,0,120
23,107,虎嘯鐵布衫,0,0,200
24,108,奔雷呼吸法,0,0,350
